10259,greek,romaine lettuce,black olives,grape tomatoes,garlic,pepper,purple onion,seasoning,garbanzo beans,feta cheese crumbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25693,southern_us,plain flour,ground pepper,salt,tomatoes,ground black pepper,thyme,eggs,green tomatoes,yellow corn meal,milk,vegetable oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130,filipino,eggs,pepper,salt,mayonaise,cooking oil,green chilies,grilled chicken breasts,garlic powder,yellow onion,soy sauce,butter,chicken livers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22213,indian,water,vegetable oil,wheat,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13162,indian,black pepper,shallots,cornflour,cayenne pepper,onions,garlic paste,milk,butter,salt,lemon juice,water,chili powder,passata,oil,ground cumin,boneless chicken skinless thigh,garam masala,double cream,natural yogurt,bay leaf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6602,jamaican,plain flour,sugar,butter,eggs,fresh ginger root,salt,ground cinnamon,milk,vanilla extract,ground ginger,powdered sugar,baking powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42779,spanish,olive oil,salt,medium shrimp,pepper,garlic,chopped cilantro,jalapeno chilies,flat leaf parsley,skirt steak,white vinegar,sea salt,bay leaf,chorizo sausage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3735,italian,sugar,pistachio nuts,white almond bark,flour,vanilla extract,olive oil,almond extract,eggs,baking powder,dried cranberries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16903,mexican,olive oil,purple onion,fresh pineapple,pork,poblano peppers,corn tortillas,cheddar cheese,ground black pepper,salt,iceberg lettuce,lime,jalapeno chilies,chopped cilantro fresh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12734,italian,chopped tomatoes,fresh basil,garlic,extra-virgin olive oil,kosher salt,flat leaf parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5875,italian,pimentos,sweet pepper,dried oregano,olive oil,garlic,sharp cheddar cheese,pepper,swiss cheese,provolone cheese,canola oil,mushrooms,black olives,sausages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45887,chinese,low sodium soy sauce,fresh ginger,dry mustard,green beans,white pepper,sesame oil,scallions,canola oil,sugar,Shaoxing wine,garlic,ground turkey,water,crushed red pepper flakes,corn starch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,italian,Italian parsley leaves,walnuts,hot red pepper flakes,extra-virgin olive oil,fresh lemon juice,trout fillet,garlic cloves,chipotle chile,fine sea salt,flat leaf parsley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41995,mexican,ground cinnamon,fresh cilantro,chili powder,ground coriander,kosher salt,ground black pepper,garlic,plum tomatoes,avocado,lime juice,flank steak,salt,ground cumin,black pepper,olive oil,crushed red pepper flakes,onions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31908,italian,fresh parmesan cheese,butter,all-purpose flour,fat free less sodium chicken broth,chopped fresh chives,gruyere cheese,ground black pepper,bacon slices,gnocchi,fat free milk,cooking spray,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24717,indian,tumeric,vegetable stock,tomatoes,garam masala,naan,red lentils,red chili peppers,onions,spinach,sweet potatoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34466,british,greek yogurt,lemon curd,confectioners sugar,raspberries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1420,italian,italian seasoning,broiler-fryer chicken,mayonaise,zesty italian dressing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2941,thai,sugar,hot chili,asian fish sauce,lime juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8152,vietnamese,soy sauce,vegetable oil,red bell pepper,chicken broth,yellow squash,garlic chili sauce,sliced green onions,broccolini,salt,fresh lime juice,cooked rice,chicken breasts,corn starch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
